MsgID.STATE,1520866747.2756999,False,False
MsgID.LOCAL_POSITION,1520866764.4421396,-0.0735636,0.1621816,-0.0770257
MsgID.LOCAL_VELOCITY,1520866764.4421396,0.0000190,-0.0000127,0.0000137
MsgID.GLOBAL_POSITION,1520866764.4421396,-122.3974491,37.7924800,0.0970000
MsgID.LOCAL_VELOCITY,1520866764.4421396,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4421396,0.0011072,0.0739482,-0.0976655
MsgID.LOCAL_VELOCITY,1520866764.4421396,0.0000091,-0.0000260,0.0000203
MsgID.STATE,1520866764.4426401,True,True
MsgID.GLOBAL_HOME,1520866764.4426401,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4426401,-122.3974503,37.7924800,0.1320000
MsgID.LOCAL_VELOCITY,1520866764.4426401,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4431400,0.0004787,-0.0284900,-0.1329306
MsgID.LOCAL_VELOCITY,1520866764.4431400,0.0000027,-0.0000343,0.0000128
MsgID.GLOBAL_POSITION,1520866764.4431400,-122.3974488,37.7924796,0.1660000
MsgID.LOCAL_VELOCITY,1520866764.4431400,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4431400,-0.0354425,0.1058093,-0.1662807
MsgID.LOCAL_VELOCITY,1520866764.4431400,0.0000032,0.0000065,0.0000183
MsgID.GLOBAL_POSITION,1520866764.4431400,-122.3974499,37.7924806,0.1960000
MsgID.LOCAL_VELOCITY,1520866764.4431400,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4436409,0.0716407,0.0082576,-0.1969767
MsgID.LOCAL_VELOCITY,1520866764.4436409,-0.0000106,-0.0000390,0.0000190
MsgID.GLOBAL_POSITION,1520866764.4436409,-122.3974504,37.7924816,0.2100000
MsgID.LOCAL_VELOCITY,1520866764.4436409,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4436409,0.1822520,-0.0436218,-0.2106549
MsgID.LOCAL_VELOCITY,1520866764.4436409,0.0000050,-0.0000130,0.0000151
MsgID.STATE,1520866764.4441411,True,True
MsgID.GLOBAL_HOME,1520866764.4441411,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4441411,-122.3974501,37.7924803,0.2060000
MsgID.LOCAL_VELOCITY,1520866764.4441411,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4446416,0.0411284,-0.0140698,-0.2064979
MsgID.LOCAL_VELOCITY,1520866764.4446416,0.0000068,0.0000023,0.0000188
MsgID.GLOBAL_POSITION,1520866764.4446416,-122.3974501,37.7924795,0.1850000
MsgID.LOCAL_VELOCITY,1520866764.4446416,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4446416,-0.0448702,-0.0120388,-0.1858995
MsgID.LOCAL_VELOCITY,1520866764.4446416,-0.0000054,-0.0000009,0.0000208
MsgID.GLOBAL_POSITION,1520866764.4451418,-122.3974489,37.7924798,0.1470000
MsgID.LOCAL_VELOCITY,1520866764.4451418,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4451418,-0.0179483,0.0932845,-0.1472405
MsgID.LOCAL_VELOCITY,1520866764.4451418,0.0000085,0.0000147,0.0000142
MsgID.GLOBAL_POSITION,1520866764.4451418,-122.3974480,37.7924800,0.1050000
MsgID.LOCAL_VELOCITY,1520866764.4451418,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4456422,0.0018084,0.1715376,-0.1054139
MsgID.LOCAL_VELOCITY,1520866764.4456422,-0.0000014,-0.0000078,0.0000105
MsgID.STATE,1520866764.4456422,True,True
MsgID.GLOBAL_HOME,1520866764.4456422,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4461424,-122.3974492,37.7924809,0.0540000
MsgID.LOCAL_VELOCITY,1520866764.4461424,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4461424,0.1060042,0.0633112,-0.0546662
MsgID.LOCAL_VELOCITY,1520866764.4461424,-0.0000077,0.0000026,0.0000106
MsgID.GLOBAL_POSITION,1520866764.4461424,-122.3974503,37.7924806,0.0130000
MsgID.LOCAL_VELOCITY,1520866764.4461424,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4466426,0.0762727,-0.0301621,-0.0132758
MsgID.LOCAL_VELOCITY,1520866764.4466426,-0.0000029,-0.0000021,0.0000138
MsgID.GLOBAL_POSITION,1520866764.4466426,-122.3974512,37.7924787,-0.0240000
MsgID.LOCAL_VELOCITY,1520866764.4466426,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4466426,-0.1357063,-0.1115762,0.0240791
MsgID.LOCAL_VELOCITY,1520866764.4466426,0.0000024,-0.0000021,0.0000148
MsgID.GLOBAL_POSITION,1520866764.4471431,-122.3974492,37.7924785,-0.0440000
MsgID.LOCAL_VELOCITY,1520866764.4471431,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4471431,-0.1591948,0.0629118,0.0443347
MsgID.LOCAL_VELOCITY,1520866764.4471431,-0.0000134,0.0000118,0.0000159
MsgID.STATE,1520866764.4471431,True,True
MsgID.GLOBAL_HOME,1520866764.4476438,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4476438,-122.3974492,37.7924792,-0.0510000
MsgID.LOCAL_VELOCITY,1520866764.4476438,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4476438,-0.0885160,0.0656146,0.0510611
MsgID.LOCAL_VELOCITY,1520866764.4476438,0.0000078,-0.0000016,0.0000152
MsgID.GLOBAL_POSITION,1520866764.4481440,-122.3974515,37.7924808,-0.0430000
MsgID.LOCAL_VELOCITY,1520866764.4481440,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4481440,0.0893591,-0.1402560,0.0431463
MsgID.LOCAL_VELOCITY,1520866764.4481440,-0.0000089,0.0000039,0.0000092
